TITLE,ARTISTS
cocoon (martin garrix & space ducks remix),"070 Shake, Martin Garrix & Space Ducks | 070 Shake, Martin Garrix, Space Ducks, Martin Garrix & Space Ducks"
1 on 1 (slander & shadient remix),"Excision, Space Laces, Slander, Shadient, SLANDER, SLANDER & Shadient | Excision, Space Laces, SLANDER & Shadient"
a b y s s,"1788-L, TYNAN | 1788-L, Tynan"
whistle,"4B & Teez | 4B, Teez"
bad behaviour,"SMALLTOWN DJS, Dances With White Girls, SkiiTour | Smalltown DJs, SkiiTour, Dances"
only one,Felix Cartal & Karen Harding | Felix Cartal
psycho (219 boys remix),"AC Slater, Taiki Nulight, 219 Boys | AC Slater and Taiki Nulight"
say it,"Phantoms, Anna Clendening | Thandi Phoenix, Sigma"
adrenaline,Zeds dead | Zeds Dead
head bop,"Tru Fonix, Rell Rock | Tru Fonix"
falling (brohug remix),"Alesso, Brohug | Alesso, BROHUG"
fire,Multiplier | Yultron
angel style,"Svdden Death, Somnium Sound | SVDDEN DEATH & Somnium Sound"
into you (3lau remix),"Ariana Grande, 3Lau | Ariana Grande, Savan Kotecha, 3LAU"
renegade,"BaDJokes & KOOS | BaDJokes, Koos"
need somebody,Crankdat | CrankDat
earthquake,"Marshmello, Tynan | Marshmello, TYNAN"
warrior (the prototypes remix),"Barely Alive, The Prototypes | Mad Hed City, The Prototypes"
stealing fire,Bass Physics | Bass Physics & Evanoff
big riddim mariachi (cookie monsta & funtcase remix),"Dodge, Fuski, 12th Planet, Cookie Monsta, Funtcase, Cookie Monsta & Funtcase | Dodge, Fuski, Cookie Monsta & Funtcase"
expert,"BIJOU & Blossom | Bijou, Blossom"
the walk,"BIJOU, Gerry Gonza | Bijou, Gerry Gonza"
biterz (gent & jawns remix),"Zomboy, Gent, Jawns, Gent & Jawns | Zomboy, Gent & Jawns"
lions,"Black Tiger Sex Machine & YOOKiE | Black Tiger Sex Machine, Yookie"
hellraiser,"Figure and Bare | Figure, bare"
death rattle,"Blanke, REAPER | Blanke, Reaper"
blind heart,"Cazzette, Terri B! | Cazzette"
blockbuster,HeRobust | Herobust
lotta money,Blossom & SHDWS | Blossom/Shdws
here for you,"Gorgon City | Gorgon City, Matthew Robson-Scott, Kye Gibbon, Laura Welsh"
need you,"Dillon Francis & NGHTMRE | Dillon Francis, Nghtmre"
borg (downlink remix),"Virtual Riot, FuntCase | Virtual Riot & Funtcase, Downlink"
born to survive,"Zomboy, rx Soul | Zomboy & RX Soul"
vikings (bixel boys remix),"Botnek & 3LAU | Botnek, 3LAU, Bixel Boys"
bounce,Astronaut | Subtronics & Rusko
dysylm,"Breathe Carolina & Sunstars | Breathe Carolina, Sunstars, Breathe Carolina & Sunstars"
bright lights,"Wenzday, Lil Debbie | Wenzday, Capozzi, & Lil Debbie"
toxic,"Britney Spears | Britney Spears, Avant, Bloodshy"
buckshot,"Subtronics | Imperium, Subtronics"
concentrate,Mike Cervello | Skellytn
cola (zhu remix),"CamelPhat, ZHU | CamelPhat, Elderbrook, ZHU"
ready for it (holy goof remix),"Carmada, Tribes, Holy Goof | Carmada, Tribes"
finest hour (ft. abir),"Cash Cash | Cash Cash, Abir"
castles (must die! remix),"Svdden Death, MUST DIE! | SVDDEN DEATH, MUST DIE!"
center of hell,Figure/Helicopter Showdown | Figure
give it to me,"Timbaland | Timbaland, Justin Timberlake, Nelly Furtado"
cha cha slide (hardino mix),"DJ Casper, Hardino | Mr C The Slide Man, Hardino"
no promises (ft. demi lovato),"Cheat Codes | Cheat Codes, Demi Lovato"
stomper,"Chris Lake & Anna Lunoe | Chris Lake, Anna Lunoe, Chris Lake x Anna Lunoe"
clean up,"Oddprophet, TRVCY | Oddprophet"
higher,Franky Nuts | Jack Beats & Qlank
keep it coming,Corrupt | Corrupt (UK)
the loot,Corrupt | Corrupt (UK)
cowboy (congorock remix),"Zeds dead, Omar LinX | Zeds Dead, Omar Linx, Congorock"
cowboy (uz remix),"Zeds dead, Omar LinX | Zeds Dead, Omar Linx, UZ"
lasers,Noizu | TV Noise
falling,"Rezz, Underoath | REZZ, Underoath"
crash land (bijou remix),"Crash Land, BIJOU | Crash Land"
wake up,"Kayzo, RIOT | Kayzo & Riot"
disappear,"Lick, Slowpalace, Sara Skinner | LICK & Slowpalace"
hollow,"Dabin, Kai Wachi, Lo Spirit | Kai Wachi, Famous Dex"
sick tonight (doctor p remix),"Dan Le Sac. vs Scoobius Pip, Doctor P | dan le sac Vs Scroobius Pip"
dead wrong,"Tynan, Bright Lights | TYNAN & Bright Sparks"
demons,Zeds dead | Zeds Dead
demons (nukid remix),"Kai Wachi | Kai Wachi, NuKid"
desert woman (whipped cream remix),"Whipped Cream, Zhu | ZHU, Whipped Cream"
need you (shockone remix),"Dillon Francis, NGHTMRE, Shockone | Dillon Francis, Nghtmre"
disarm you (ft. ilsey),"Kaskade, Ilsey | Kaskade"
ps,"DJ Q | DJ Q, Flava D"
soup dragon,"DJ Zinc, Shift K3Y | DJ Zinc, Shi, K3y"
the pit (brillz remix),"Doctor P, Adam F, Brillz | Adam F, Brillz"
overheater,"Doctor P, CRaymak | doctor P & Craymak"
od,"Doctor P, KoolKid | doctor P & KoolKiD"
going gorillas (doctor p's bananas remix),"Doctor P, Doctor P's Bananas | doctor P"
watch out (slum dogz vip mix),"Doctor P, Slum Dogz VIP | doctor P"
kung fu,"Dr. Fresch & BIJOU | Dr. Fresch, Bijou"
too cocky,"Dr. Fresch & BIJOU | Dr. Fresch, Bijou"
wtf,Herobust | HeRobust
dream & disaster (tynan remix),"Spag Heddy, Micah Martin, TYNAN | Spag Heddy, TYNAN"
drop it down (axel boy remix),"Wenzday, B-Sides, Axel Boy | WENZDAY, Axel Boy"
rekt,"LSDREAM, Kayoh | Lsdream, Kayoh"
here to stay,"Zomboy, Lady Chann | Zomboy | ZOMBOY & Lady Chann"
end of the night,"Nghtmre, Ghastly | NGHTMRE & Ghastly"
neck brace (afk remix),"Excision, AFK | Excision, Messinian, AFK"
the paradox (funtcase & cookie monsta remix),"Excision, FuntCase & Cookie Monsta | Excision, Funtcase, Cookie Monsta, Funtcase & Cookie Monsta"
flo,Joyryde | Joyride
faith in you (ac slater remix),"Volac, TONYB. | Volac, TonyB, AC Slater"
fearless,Guapdad 4000 & Valentino Khan | Guapdad 4000
fill me in,"Loud Luxury, Ryan Shepherd, Loud Luxury & Ryan Shepherd | Loud Luxury & Ryan Shepherd"
flies,"Zeds dead, LOUDPVCK | Zeds Dead And Loudpvck"
frontlines,"Zeds Dead, GG Magree | Zeds dead, Nghtmre & GG Magree"
ready or not,"Fugees, Lauryn Hill, Wyclef Jean & Pras | Fugees"
